文献,矿名,份,市/县,岩性,密度（kg*m3）,体积模量（Gpa）,剪切模量/GPa,内聚力（MPa）,内摩擦角,抗拉强度（MPa）,抗压强度/MPa,弹性模量（Gpa）,泊松比,埋深,厚度,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,泥岩,,,,,30,,11.6,5.2,0.26,238.06,1.5,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,细砂岩,,,,,35,,23.5,7.6,0.2,239.56,1.7,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,中砂岩,,,,,38,,27,8.6,0.21,241.26,3.1,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,泥岩,,,,,32,,14.6,4.5,0.26,244.36,8.1,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,细砂岩,,,,,35,,28.4,7.6,0.2,252.46,6.3,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,泥岩,,,,,30,,15.8,4.6,0.25,258.76,16.8,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,粉砂岩,,,,,32,,18.6,7,0.22,275.56,7.2,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,泥岩,,,,,28,,12.5,4.6,0.25,282.76,2.6,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,粉砂岩,,,,,30,,15.6,6.8,0.24,285.36,4.6,,,,,
薄基岩区覆岩采动破坏特征与控水控砂性能评价,鲁西煤矿,山东,,泥岩,,,,,28,,12.5,5.2,0.25,289.96,30.5,,,,,
古建筑压煤开采对斜坡上覆堆积层变形扰动影响研究,煤业公司,山西,礼仪镇,堆积层,1720,,,0.032,25,0.28,,0.007,0.44,0,,,,,,
